Ages,Vienna,Berlin,London,Norwich,Nothampton,Breflaw,Brandenburg,Holy-Crofd,Holland,France,Vaud
0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
1,542,633,680,798,738,769,745,882,804,805,817
2,471,528,548,651,628,658,718,562,568,777,565
3,430,485,492,595,585,614,687,717,736,750,735
4,400,434,452,566,562,585,664,682,709,727,715
5,377,403,426,544,544,563,642,659,689,711,701
6,357,387,413,526,530,546,622,636,676,697,688
7,344,376,397,511,518,532,604,618,661,686,677
8,337,364,388,500,510,523,595,604,652,676,667
9,331,361,380,490,504,545,585,595,646,667,659
10,326,356,373,481,498,508,577,589,639,660,653
11,322,353,367,474,493,592,570,585,633,654,648
12,318,359,361,488,488,497,564,581,627,649,643
13,314,347,356,464,484,492,559,577,621,644,639
14,310,344,351,460,480,488,554,573,616,639,635
15,306,341,347,455,475,483,549,569,611,635,631
16,302,338,343,451,470,479,574,565,606,631,626
17,299,335,338,446,465,474,539,560,601,-626,622
18,295,332,334,442,459,470,535,555,596,621,618
19,291,328,329,437,453,465,531,550,590,616,614
20,287,324,325,432,447,461,527,545,584,610,610
21,284,320,321,426,440,456,522,539,577,604,606
22,280,315,316,421,433,451,517,532,571,598,602
23,276,310,310,415,426,446,512,525,566,592,597
24,273,305,305,409,419,441,507,518,559,586,592
25,269,297,299,404,412,436,502,512,551,580,587
26,265,293,294,398,405,431,498,506,543,574,582
27,261,287,288,392,398,426,495,501,535,568,577
28,256,281,283,385,391,421,492,496,526,563,572
29,251,275,278,378,384,415,489,491,517,556,567
30,247,269,272,372,378,409,486,486,508,550,563
31,243,264,266,365,372,403,482,481,499,544,558
32,239,259,260,361,366,397,477,476,490,438,553
33,235,254,254,355,350,391,472,471,482,532,348
34,231,249,248,350,354,384,467,466,474,526,514
35,226,243,242,344,348,377,462,460,467,520,539
36,221,237,236,338,342,370,456,454,460,514,533
37,216,230,230,333,336,363,450,447,453,508,527
38,211,223,224,337,330,356,444,440,446,593,520
39,205,216,218,322,324,349,438,433,439,497,513
40,199,209,214,317,317,342,432,426,432,492,506
41,194,203,207,311,310,335,427,418,425,487,500
42,189,197,201,306,303,328,422,410,419,482,494
43,185,192,101,390,206,321,417,401,413,436,488
44,181,187,84,291,289,314,112,393,407,471,482
45,176,182,180,287,282,307,407,386,400,466,416
46,171,157,174,281,275,299,400,379,393,460,469
47,165,172,107,274,268,291,394,372,386,455,461
48,159,107,159,263,261,283,388,365,378,449,451
49,153,162,153,261,254,275,381,359,370,443,441
50,147,157,147,255,247,267,374,353,362,436,437
51,142,152,141,248,239,259,367,347,354,429,422
52,137,147,135,242,232,250,359,370,345,422,414
53,133,142,130,235,225,241,351,333,336,414,406
54,128,137,125,228,218,232,343,326,327,406,397
55,123,132,120,221,211,224,334,318,318,397,388
56,117,127,116,213,204,-216,324,310,309,388,377
57,111,121,111,206,197,209,314,301,300,379,354
58,106,115,106,199,190,201,314,292,291,369,348
59,101,109,101,191,183,193,304,283,282,359,331
60,96,103,96,184,176,186,293,273,273,319,314
61,91,97,92,177,169,178,282,263,261,339,299
62,87,92,87,169,162,170,271,253,255,329,286
63,82,88,83,161,155,163,260,243,245,318,274
64,77,84,58,153,148,155,248,233,235,307,262
65,72,80,74,144,141,147,236,223,225,296,259
66,67,75,70,136,134,140,224,213,215,285,236
67,62,79,65,128,127,132,213,203,205,273,220
68,57,65,61,119,120,124,202,193,195,260,202
69,52,60,56,111,113,117,190,182,185,246,181
70,48,55,52,103,106,109,178,171,175,232,168
71,44,51,47,94,99,101,166,161,165,218,153
72,40,47,43,86,92,93,153,151,155,195,140
73,36,43,39,79,85,85,138,142,145,188,129
74,33,39,35,71,98,57,122,134,135,173,119
75,30,35,32,64,71,69,107,126,125,158,109
76,27,32,28,57,64,61,93,119,114,114,98
77,24,29,25,50,58,53,80,112,103,129,85
78,21,26,22,43,52,45,68,105,92,115,71
79,18,23,19,37,46,38,59,98,82,102,58
80,16,20,17,32,40,32,51,90,72,88,46
81,14,18,14,27,34,26,44,81,62,75,36
82,12,16,12,23,28,22,38,71,53,63,39
83,10,14,10,19,23,18,32,61,45,53,24
84,8,12,8,26,19,15,25,51,38,44,20
85,7,10,7,13,16,12,21,41,31,36,17
86,6,8,6,10,13,9,15,32,25,28,14
87,5,7,5,8,11,6,11,24,19,21,17
88,4,6,4,6,8,4,8,17,14,16,9
89,3,5,3,5,6,2,6,11,10,12,7
90,2,4,2,4,4,1,4,7,7,8,5
,,,,,,,,,,,
